Genus_Species,male_mass,male_mass_n,male_mass_sd,male_logmass_sd,female_mass,female_mass_n,female_mass_sd,female_logmass_sd,male_shoulder_height,female_shoulder_height,female_mean_psl,female_psl_n,Tribe,Genus,n,mean_ant_vol,max_ant_vol,mean_psl,mean_mbl,max_mbl,mean_ant_area,mean_vol_by_area,se_raw_ant_vol,se_raw_psl,se_raw_mbl,log_ant_vol,log_psl,log_mbl,log_ant_area,log_ant_vol_sd,log_psl_sd,log_mbl_sd,log_ant_area_sd,log_psl_var_est,log_vol_var_est,log_mbl_var_est,log_area_var_est,Rudimentary,BGS,Plard_MBL,Plard_MaleMass,Plard_FemaleMass,CB_MBL,CB_Shoulder,male_logmass_se,female_logmass_se,SSD_mass,SSD_psl,SSD_SH,log_ant_vol_se,log_psl_se,log_mbl_se,log_area_se
Muntiacus_putaoensis,12.1,1,NA,0.105858446,11.8,1,NA,0.088979503,45.5,45.625,6.000422711,NA,Muntiacini,Muntiacus,1,0.001833,0.001833,6.045912013,2.97,2.97,0.0669,1.369990334,NA,NA,NA,-6.30180131,1.799382343,1.088561953,-2.704556312,0.4502728,0.065298245,0.179084633,0.343161664,0.004873466,0.246473858,0.039860303,0.140259014,yes,A,3.25,12,12,NA,NA,0.105858446,0.088979503,0.025105921,0.007552425,-0.002743486,0.496461336,0.069810215,0.199650452,0.3745117
Muntiacus_reevesi,8.641395349,43,4.603265146,0.402457745,9.15,60,1.811983917,0.163855398,44.5,NA,5.5,4,Muntiacini,Muntiacus,17,0.01102,0.020931,5.808823529,8.129411765,10.65,0.270423529,1.976367566,0.001122566,0.061720923,0.379895952,-4.508043475,1.75937806,2.095488567,-1.307765922,0.431882442,0.044169966,0.199548872,0.254556832,0.00298112,0.206146077,0.03983295,0.101622204,yes,A,11.4,13.5,14,8.9,44.5,0.061374231,0.021153641,-0.057189811,0.054629967,NA,0.110119207,0.013242356,0.04840573,0.077316083
Muntiacus_vuquangensis,45,1,NA,0.105858446,34,1,NA,0.088979503,67.5,NA,8.486936773,NA,Muntiacini,Muntiacus,4,0.12433075,0.206963,8,18.3875,24.55,1.445225,4.111787729,0.03356694,NA,2.398556423,-2.084809926,2.079441542,2.911671086,0.368265019,0.4502728,0.065298245,0.179084633,0.343161664,0.004717289,0.234310961,0.037680513,0.136560308,yes,A,22.75,45,34,NA,NA,0.105858446,0.088979503,0.280301965,-0.059086589,NA,0.242028387,0.034341262,0.097057346,0.184770336
Odocoileus_hemionus,76.67797295,64,13.73157656,0.169431826,58.99,91,NA,0.088979503,100.765,NA,10.43636364,11,Odocoileini,Odocoileus,9,1.095170444,2.449603,11.78611111,53.32777778,62.85,8.819311111,5.87405536,0.211976184,0.256888132,2.574529503,0.090910008,2.466921814,3.976457354,2.176943762,0.528931185,0.062957454,0.145939976,0.373610813,0.00443788,0.263347073,0.030413983,0.140027098,no,B,88.5,112.5,55.5,71,101.2,0.021178978,0.009327586,0.262246545,0.121625603,NA,0.171057844,0.022205805,0.058132018,0.124733983
Odocoileus_hemionus_columbianus,66.40592297,2,13.59930141,0.206240229,NA,NA,NA,0.088979503,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.57378538,NA,NA,NA,NA,NA,NA,NA,NA,2.358377861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145833865,0.088979503,NA,NA,NA,NA,NA,NA,NA
Odocoileus_virginianus,74.7137931,145,19.00128786,0.212256459,45.81073826,149,8.421163815,0.157402858,94.39333333,NA,10.22307692,13,Odocoileini,Odocoileus,12,0.474291667,0.994625,11.4,44.67083333,55.65,4.626383333,4.967204341,0.058291204,0.148732014,1.796929814,-0.745932816,2.433613355,3.799320791,1.531775425,0.428982723,0.045362755,0.142501725,0.301852227,0.003302045,0.209907417,0.028370397,0.119664361,no,B,65.6,154.5,68.5,65.6,98.2,0.017626939,0.012894945,0.489146198,0.108965747,NA,0.132258401,0.016588261,0.048623037,0.099860053
Odocoileus_virginianus_dakotensis,82.39032258,31,6.379916405,0.078376919,56.31034483,29,4.949747468,0.09094622,NA,NA,10.01229483,NA,NA,NA,NA,NA,NA,11.34969666,NA,NA,NA,NA,NA,NA,NA,NA,2.429191017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01407691,0.016888289,0.380589723,0.125377197,NA,NA,NA,NA,NA
Odocoileus_virginianus_texanus ,50.14899099,70,3.873484683,0.072512814,35.70134826,75,1.285828524,0.036096993,89.51843478,84.15316883,8.623790408,NA,NA,NA,NA,NA,NA,9.642581853,NA,NA,NA,NA,NA,NA,NA,NA,2.2661889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008666939,0.004168122,0.33980994,0.111664189,0.061806002,NA,NA,NA,NA
Ozotoceros_bezoarticus,40,1,NA,0.105858446,33.5,1,NA,0.088979503,71.85,NA,8,2,Odocoileini,Ozotoceros,12,0.161752,0.239316,8.729166667,26.9,33.4,2.290458333,3.496140008,0.011343504,0.159004757,1.207018616,-1.821690981,2.166669909,3.292126287,0.828751943,0.242463673,0.062206398,0.158807663,0.179574529,0.004313233,0.13657417,0.031257412,0.094994923,no,B,21,33.5,33.5,NA,NA,0.105858446,0.088979503,0.177334015,0.087228367,NA,0.106682617,0.0189588,0.051037088,0.088973275
Pudu_mephistophiles,5.8,1,NA,0.105858446,6,1,NA,0.088979503,31.5,NA,5.3,1,Odocoileini,Pudu,2,0.003787,0.004008,5.125,4.65,4.95,0.1129,1.67614665,0.000221,0.325,0.3,-5.57618113,1.634130525,1.53686722,-2.181252808,0.4502728,0.065298245,0.179084633,0.343161664,0.004810684,0.241496623,0.038967053,0.13887436,yes,unknown,NA,NA,NA,NA,NA,0.105858446,0.088979503,-0.033901552,-0.033576296,NA,0.347488577,0.049044288,0.139583403,0.263509354
Pudu_puda,13,1,NA,0.105858446,13.5,1,NA,0.088979503,35.5,NA,6.02,5,Odocoileini,Pudu,3,0.003920667,0.004698,5.8,6.5,7.05,0.135133333,1.418441447,0.000756431,0.152752523,0.332916406,-5.541493572,1.757857918,1.871802177,-2.001493334,0.4502728,0.065298245,0.179084633,0.343161664,0.004759627,0.237536639,0.038257602,0.137650256,yes,A,8.5,13,13.5,7.5,35.5,0.105858446,0.088979503,-0.037740328,-0.037229342,NA,0.281387419,0.039831422,0.112927118,0.214204152
Rangifer_tarandus_caribou,190.7428571,14,33.84409106,0.160150045,122.6139535,43,16.75067163,0.127053302,147.32,122.068,15.6,1,Rangiferini,Rangifer,18,2.983543333,5.793937,16.35,98.55555556,140.75,23.1665,6.128736638,0.38008704,0.205042639,6.403492829,1.093111632,2.794227897,4.590620405,3.14270727,0.601707369,0.052911181,0.299735145,0.465324703,0.003502172,0.325746502,0.074232476,0.180463722,no,unknown,NA,NA,NA,NA,NA,0.0428019,0.019375447,0.441885393,0.046956983,0.188028825,0.134525194,0.013948659,0.064218583,0.100128729
Rangifer_tarandus_granti,114.0522686,551,6.576093065,0.059520357,79.2862069,29,9.1425744,0.116190791,NA,NA,14.02727273,11,Rangiferini,Rangifer,17,3.148358235,7.246851,15.70588235,99.58125,137.5,24.62994118,5.903237182,0.464336479,0.285748577,4.903253972,1.146881122,2.754035314,4.600973894,3.203962824,0.721021798,0.075330114,0.206582075,0.508575893,0.005392228,0.430382077,0.041759709,0.200877069,no,unknown,NA,NA,NA,NA,NA,0.002535652,0.021576088,0.363592662,0.113031828,NA,0.159111888,0.017809826,0.049562622,0.108702797
Rangifer_tarandus_groenlandicus,108.85,26,28.93985142,0.261300541,73.86984127,63,18.41607993,0.222495244,NA,NA,10.94339587,NA,Rangiferini,Rangifer,2,2.848868,4.824512,13.85,108.625,146.1,21.66985,5.879976131,1.975644,1.55,37.475,1.046921722,2.628285233,4.687901584,3.075921894,0.4502728,0.065298245,0.179084633,0.343161664,0.004810684,0.241496623,0.038967053,0.13887436,NA,NA,NA,NA,NA,NA,NA,0.051245252,0.028031766,0.387666145,0.235549075,NA,0.347488577,0.049044288,0.139583403,0.263509354
Rangifer_tarandus_pearyi,69.25901639,61,9.163787427,0.121758929,56.21375,160,4.120072815,0.071448847,NA,NA,10.00666483,NA,Rangiferini,Rangifer,4,1.19153325,2.303178,12.2,76.0625,101.5,12.029,4.706018331,0.371514644,0.543139025,8.503145864,0.175240923,2.501435952,4.331555371,2.487320401,0.4502728,0.065298245,0.179084633,0.343161664,0.004717289,0.234310961,0.037680513,0.136560308,no,unknown,NA,NA,NA,NA,NA,0.015589633,0.005648527,0.208691948,0.198184598,NA,0.242028387,0.034341262,0.097057346,0.184770336
Rangifer_tarandus_tarandus,112.0515076,9,40.3221402,0.341115193,65.21626522,6,10.59900453,0.164734574,120,NA,10.50569185,NA,Rangiferini,Rangifer,6,1.575974167,1.72447,13.55,78.28333333,88.9,15.00713333,5.32242637,0.044228919,0.661689756,4.504066064,0.4548736,2.606386547,4.360334724,2.708525644,0.070372613,0.120410329,0.150005565,0.129096864,0.008383769,0.15202364,0.033036854,0.109740544,no,C,91,106.5,76,117.2,120,0.113705064,0.067252608,0.54124975,0.254469356,NA,0.159176862,0.037380408,0.074203385,0.135240862
Rucervus_duvaucelii,211.6763333,3,45.43505458,0.216069991,141.748,2,4.811154539,0.033948124,117.15,NA,11.8,1,Cervini,Rucervus,10,1.8157869,2.682287,14.13333333,67.9,73.5,17.11715,6.560682763,0.151652301,0.147478812,1.927937874,0.596518927,2.648536074,4.218036035,2.840080885,0.264947095,0.033932109,0.092645918,0.512541626,0.002981942,0.151959096,0.023024414,0.185702712,no,C,81.3,236,145,95.2,120,0.124748067,0.024004948,0.401007545,0.180436542,NA,0.12327169,0.0172683,0.047983762,0.136272782
Rucervus_eldii,105,1,NA,0.105858446,67,1,NA,0.088979503,126.97,NA,10.75,4,Cervini,Rucervus,8,1.91125875,2.470864,12.38571429,82.03125,93,12.46375,7.557393392,0.17666222,0.223073765,4.270192969,0.647762056,2.516543735,4.407100272,2.522824431,0.333403184,0.05035577,0.165566595,0.24538729,0.003831808,0.182410865,0.03394067,0.115075344,no,C,97.15,105,67,94.3,124.4,0.105858446,0.088979503,0.449267731,0.14163798,NA,0.151001186,0.021885522,0.065135119,0.119935057
Rusa_alfredi,40,1,NA,0.105858446,NA,NA,NA,0.088979503,70,NA,NA,NA,Cervini,Rusa,1,0.107417,0.107417,8.952644586,17.35,17.35,1.3788,3.896268423,NA,NA,NA,-2.231036823,2.191948973,2.853592506,0.321213556,0.4502728,0.065298245,0.179084633,0.343161664,0.004873466,0.246473858,0.039860303,0.140259014,no,unknown,NA,NA,NA,NA,NA,0.105858446,0.088979503,NA,NA,NA,0.496461336,0.069810215,0.199650452,0.3745117
Rusa_marianna,50,1,NA,0.105858446,48.73740721,NA,NA,0.088979503,72.48,NA,9.525,4,Cervini,Rusa,19,0.553700842,1.433411,10.62058824,34.04473684,47.5,4.475747368,5.758567912,0.080441046,0.166180923,1.59163059,-0.591130734,2.362794404,3.527675449,1.498673347,0.564594638,0.067170386,0.195269463,0.373734758,0.004629778,0.296939069,0.038649467,0.139944291,no,unknown,NA,NA,NA,NA,NA,0.105858446,0.088979503,0.025576155,0.108874483,NA,0.125013487,0.015610013,0.045101912,0.085822427
Rusa_timorensis,143.3333333,3,22.30097158,0.163019851,63.5,2,14.8492424,0.236013279,102.5,NA,10.23076923,13,Cervini,Rusa,6,0.591429333,1.039013,11.85,48.225,64.5,5.225333333,5.362154982,0.140192516,0.306594194,5.421388967,-0.525213073,2.472327868,3.875877559,1.653518592,0.593822491,0.062849103,0.279990804,0.445292648,0.004536682,0.287985734,0.055007724,0.154587339,no,C,67.5,95.5,53,NA,NA,0.094119555,0.16688659,0.814133014,0.146928097,NA,0.219083597,0.02749752,0.095749434,0.160513415
Rusa_unicolor,277.9014,10,62.93170818,0.244094162,172.07325,4,18.08120928,0.105293853,148.4466667,NA,12.5,12,Cervini,Rusa,14,1.003439143,2.941108,13.52857143,51.49285714,91.1,7.08475,6.369563779,0.215856785,0.384833141,4.787727148,0.003433243,2.604803851,3.941443102,1.957944587,0.773328246,0.117380787,0.339398649,0.550825618,0.010205696,0.466352214,0.08712442,0.215339776,no,B,104.9,192,146,109.8,150.7,0.077189352,0.052646926,0.479346116,0.079075207,NA,0.182512664,0.026999598,0.078887089,0.124021823
Cervus_elaphus_corsicanus,NA,NA,NA,0.105858446,48.17602482,NA,NA,0.088979503,95,82.5,9.513396555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105858446,0.088979503,NA,NA,0.141078598,NA,NA,NA,NA
Cervus_elaphus_elaphus,NA,NA,NA,0.105858446,100.7145067,NA,NA,0.088979503,124.9,110.6,12.11313984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105858446,0.088979503,NA,NA,0.121593328,NA,NA,NA,NA
Cervus_nippon_sichuanicus,NA,NA,NA,0.105858446,62.51124713,NA,NA,0.088979503,100.5,91.5,10.36089672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105858446,0.088979503,NA,NA,0.093818755,NA,NA,NA,NA
Cervus_nippon_taiouanus,NA,NA,NA,0.105858446,NA,NA,NA,0.088979503,97.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105858446,0.088979503,NA,NA,NA,NA,NA,NA,NA
Mazama_chunyi,8.939927472,NA,NA,0.105858446,NA,NA,NA,0.088979503,NA,NA,NA,NA,Odocoileini,Mazama,1,0.001006,0.001006,5.3,1.7,1.7,0.0393,1.279898219,NA,NA,NA,-6.901773207,1.667706821,0.530628251,-3.23653076,0.4502728,0.065298245,0.179084633,0.343161664,0.004873466,0.246473858,0.039860303,0.140259014,yes,unknown,NA,NA,NA,NA,NA,0.105858446,0.088979503,NA,NA,NA,0.496461336,0.069810215,0.199650452,0.3745117
Mazama_temama,17.05393399,NA,NA,0.105858446,18.27308179,NA,NA,0.088979503,NA,NA,6.8,7,Odocoileini,Mazama,7,0.011832286,0.017954,6.621428571,7.9,10,0.264442857,2.188929374,0.001474127,0.226215537,0.510951493,-4.436923406,1.890311143,2.066862759,-1.330130092,0.3321505,0.093191237,0.172522761,0.217058995,0.006427987,0.187216644,0.035445003,0.11395804,yes,unknown,NA,NA,NA,NA,NA,0.105858446,0.088979503,-0.069048127,-0.026611469,NA,0.163539704,0.030303198,0.071158779,0.127592006
Muntiacus_truongsonensis,20.03925664,NA,NA,0.105858446,NA,NA,NA,0.088979503,NA,NA,NA,NA,Muntiacini,Muntiacus,1,0.003104,0.003104,7,3.35,3.35,0.0917,1.690240668,NA,NA,NA,-5.775063677,1.945910149,1.208960346,-2.3892329,0.4502728,0.065298245,0.179084633,0.343161664,0.004873466,0.246473858,0.039860303,0.140259014,yes,unknown,NA,NA,NA,NA,NA,0.105858446,0.088979503,NA,NA,NA,0.496461336,0.069810215,0.199650452,0.3745117
Odocoileus_hemionus_hemionus,NA,NA,NA,0.105858446,61.31509951,NA,NA,0.088979503,96.58,90.8,10.29552384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105858446,0.088979503,NA,NA,0.061712395,NA,NA,NA,NA
Rucervus_schomburgki,123.1257948,NA,NA,0.105858446,NA,NA,NA,0.088979503,104.14,NA,NA,NA,Cervini,Rucervus,9,1.810971556,3.164831,13.0875,64.55555556,78.4,14.37235556,6.230122405,0.197450703,0.200148754,2.855166424,0.593863472,2.571657576,4.16752618,2.665306608,0.295267662,0.046554244,0.129548215,0.24676618,0.003577866,0.165746955,0.028115875,0.11294916,no,unknown,NA,NA,NA,NA,NA,0.105858446,0.088979503,NA,NA,NA,0.135706773,0.019938422,0.05589263,0.112026366
Sinomegaloceros_yabei,452.7039412,NA,NA,0.105858446,NA,NA,NA,0.088979503,180,NA,NA,NA,Cervini,Sinomegaloceros,1,8.287538,8.287538,20.5,NA,#NAME?,40.7994,10.15644593,NA,NA,NA,2.114752941,3.020424886,NA,3.708667375,0.4502728,0.065298245,0.179084633,0.343161664,0.004873466,0.246473858,0.039860303,0.140259014,no,unknown,NA,NA,NA,NA,180,0.105858446,0.088979503,NA,NA,NA,0.496461336,0.069810215,0.199650452,0.3745117
Rangifer_tarandus_fennicus,154.2223983,NA,NA,0.105858446,76.96785849,NA,NA,0.088979503,NA,99.38823529,11.09168246,NA,Rangiferini,Rangifer,8,1.792509875,2.700022,14.14375,94.575,113.05,16.387175,5.261305154,0.252086721,0.396686893,5.484303902,0.583616803,2.64927283,4.549393171,2.796499017,0.547295873,0.079963688,0.173963728,0.376715358,0.005551069,0.27159364,0.035296498,0.140779855,no,unknown,NA,NA,NA,NA,NA,0.105858446,0.088979503,0.695007793,0.243077331,NA,0.184253101,0.026341671,0.066423356,0.132655501
Mazama_pandora,NA,NA,NA,0.105858446,19.88197138,NA,NA,0.088979503,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105858446,0.088979503,NA,NA,NA,NA,NA,NA,NA
Alces_alces_andersoni,409.2952782,NA,NA,0.105858446,NA,NA,NA,0.088979503,NA,NA,NA,NA,Alceini,Alces,1,5.106694,5.106694,19.8,79.25,79.25,37.2973,6.845822014,NA,NA,NA,1.630552228,2.985681938,4.372607413,3.618920938,0.4502728,0.065298245,0.179084633,0.343161664,0.004873466,0.246473858,0.039860303,0.140259014,NA,NA,NA,NA,NA,NA,NA,0.105858446,0.088979503,NA,NA,NA,0.496461336,0.069810215,0.199650452,0.3745117
Eucladoceros_dicranios,258.5152437,NA,NA,0.105858446,NA,NA,NA,0.088979503,NA,NA,NA,NA,Cervini,Eucladoceros,1,10.981366,10.981366,16.9,109.385,109.385,62.4767,8.78216836,NA,NA,NA,2.396199836,2.827313622,4.694873769,4.134793687,0.4502728,0.065298245,0.179084633,0.343161664,0.004873466,0.246473858,0.039860303,0.140259014,NA,NA,NA,NA,NA,NA,NA,0.105858446,0.088979503,NA,NA,NA,0.496461336,0.069810215,0.199650452,0.3745117
Odocoileus_virginianus_cariacou,40.22252069,NA,NA,0.105858446,NA,NA,NA,0.088979503,NA,NA,NA,NA,Odocoileini,Odocoileus,1,0.213048,0.213048,8.9,29.2,29.2,2.7199,3.905695546,NA,NA,NA,-1.546237787,2.186051277,3.374168709,1.000595115,0.4502728,0.065298245,0.179084633,0.343161664,0.004873466,0.246473858,0.039860303,0.140259014,NA,NA,NA,NA,NA,NA,NA,0.105858446,0.088979503,NA,NA,NA,0.496461336,0.069810215,0.199650452,0.3745117
Odocoileus_virginianus_truei,42.7647489,NA,NA,0.105858446,NA,NA,NA,0.088979503,NA,NA,NA,NA,Odocoileini,Odocoileus,5,0.0886488,0.119588,9.09,16.93,19.1,1.14394,3.838292727,0.01003536,0.269907392,0.805698455,-2.423072783,2.207174908,2.829087196,0.134478444,0.4502728,0.065298245,0.179084633,0.343161664,0.004681614,0.231632674,0.037201905,0.135583609,NA,NA,NA,NA,NA,NA,NA,0.105858446,0.088979503,NA,NA,NA,0.215235998,0.030599392,0.086257644,0.164671557
Rangifer_tarandus_platyrhynchus,98.06096244,NA,NA,0.105858446,NA,NA,NA,0.088979503,NA,NA,NA,NA,Rangiferini,Rangifer,2,2.0591275,2.209395,12.1,84.375,89.9,18.87285,5.461845264,0.1502675,0.7,5.525,0.722282349,2.493205453,4.435271149,2.937724381,0.4502728,0.065298245,0.179084633,0.343161664,0.004810684,0.241496623,0.038967053,0.13887436,NA,NA,NA,NA,NA,NA,NA,0.105858446,0.088979503,NA,NA,NA,0.347488577,0.049044288,0.139583403,0.263509354